木***1,2017-03-16 19:51:38,首先对这次购货物流特不满意，3月6曰凌晨下单，当时看到页面显示：菜鸟包裹承诺3月6曰下单付款的，3月7曰就能送达，结果3月7曰才发货（本来想再不发货，下班回家申请退款），当时显示的菜鸟包裹承诺3月8曰可送达，最后是3月9日上午才收到！作为一个知名品牌的旗舰店，天猫电器城的卖家，连这点承诺都做不到，我觉得很失望。再来说下笔记本，整体还好，性价比不错，但运行时有声音（可能是风扇），开机不算快。
潇***f,2017-03-16 12:36:14,对于这次买电脑，对我来说真的很不开心。各种问题都来了，对于物流慢说是预售问题我接受了。拿到电脑开机居然会白屏。客服搞了半天居然屁的问题也解决不了。实在很窝火，什么高级工程师，对于客服指导只是会拘泥于形式。什么只能线上指导，也不看看是什么时候。我着急解决问题，你发一句他快半个小时回一句这能解决什么问题，当时真的很生气。后来还是自己找人弄得。我只想说在顾客着急解决问题的时候不要只是遵循什么渠道，解决不了问题有个屁用。其余的也不想多说。
t***3,2017-03-16 11:39:03,用了几天才来评价，除了开机慢一点，其他都还算满意，五分
公***企,2017-03-16 11:15:53,电脑还可以感觉吧反应有点满。但总体来说还是不错的。
t***0,2017-03-16 11:10:48,用的好爽
x***a,2017-03-16 10:08:45,不错，够用，卖家持指导了下，一切ok
只***6,2017-03-16 08:32:52,一开始觉得特别水，到货之后，问题马上就来了，装个系统弄了半天，还黑屏，再一个就是开机特别的慢，得一分多钟，后来，在客服的帮助下，把c盘里的一下自带软件卸载，速度就快了，十五六秒可以开机，但输密码后，回车进入桌面还得将近十秒，磁盘性不好，1T机械硬盘，还要自己分区，总之，性价比一般
o***c,2017-03-15 23:35:43,还行吧
张***7,2017-03-15 23:20:31,戴尔官方正品笔记本！大品牌，收到宝贝后心里忐忑不安，不知好用不，今天我可以大声说：戴尔笔记本，值得拥有！
y***t,2017-03-15 22:56:21,不加固态开机很慢，其他强度也不好说，反正外观就是黑黑的
紫***8,2017-03-15 21:40:41,笔记本电脑刚拿到的时候，机子开机比较慢，经过售后客服的指导设置，机子开机最多十几秒，电脑我也非常满意，客服的服务也特别好，很愉快的一次购物！
e***o,2017-03-15 19:06:29,1屏幕不错 但如果不正对屏幕的话会偏色 2售后服务真不错 我分区不小心把系统搞坏了 戴尔售后非常耐心的指导帮助 虽然感觉没有原机系统好 但也很好了3这款笔记本性价比真高啊4要是能选配固态就好了 以后还得自己想办法 第一次在网上买这种大件 满意
b***g,2017-03-15 16:11:05,太牛逼了。开机6秒。没加固态啊！昨天早上忘记接电源。打lol到晚上八点才发现。牛逼的电池啊。玩游戏居然10小时啊
x***y,2017-03-15 12:44:41,还不错哦，客服售后也很好
菠***油,2017-03-15 10:30:38,电脑很满意，挺薄的，配置不错，性价比高，就是开机慢了点不过没什么大碍，还有发货有点慢....等了三天才发货
伍***拾,2017-03-15 09:33:26,挺好的，还不错。
t***1,2017-03-14 23:42:02,特地用了几天才来评价，目前来说这个电脑性价比超高，比京东便宜了很多。用起也很顺手
黄***6,2017-03-14 23:29:54,外壳很酥脆，有翻炒的味道
n***n,2017-03-14 23:27:56,电脑质量差，性价比低，买了后悔，玩游戏根本不行太卡，物流慢，我至少一星期才发货..不建议大家购买
z***1,2017-03-14 21:33:23,很好，这个价钱可以买到那么好的配置真的不错，戴尔不错
木***1,2017-03-16 19:51:38,首先对这次购货物流特不满意，3月6曰凌晨下单，当时看到页面显示：菜鸟包裹承诺3月6曰下单付款的，3月7曰就能送达，结果3月7曰才发货（本来想再不发货，下班回家申请退款），当时显示的菜鸟包裹承诺3月8曰可送达，最后是3月9日上午才收到！作为一个知名品牌的旗舰店，天猫电器城的卖家，连这点承诺都做不到，我觉得很失望。再来说下笔记本，整体还好，性价比不错，但运行时有声音（可能是风扇），开机不算快。
潇***f,2017-03-16 12:36:14,对于这次买电脑，对我来说真的很不开心。各种问题都来了，对于物流慢说是预售问题我接受了。拿到电脑开机居然会白屏。客服搞了半天居然屁的问题也解决不了。实在很窝火，什么高级工程师，对于客服指导只是会拘泥于形式。什么只能线上指导，也不看看是什么时候。我着急解决问题，你发一句他快半个小时回一句这能解决什么问题，当时真的很生气。后来还是自己找人弄得。我只想说在顾客着急解决问题的时候不要只是遵循什么渠道，解决不了问题有个屁用。其余的也不想多说。
t***3,2017-03-16 11:39:03,用了几天才来评价，除了开机慢一点，其他都还算满意，五分
公***企,2017-03-16 11:15:53,电脑还可以感觉吧反应有点满。但总体来说还是不错的。
t***0,2017-03-16 11:10:48,用的好爽
x***a,2017-03-16 10:08:45,不错，够用，卖家持指导了下，一切ok
只***6,2017-03-16 08:32:52,一开始觉得特别水，到货之后，问题马上就来了，装个系统弄了半天，还黑屏，再一个就是开机特别的慢，得一分多钟，后来，在客服的帮助下，把c盘里的一下自带软件卸载，速度就快了，十五六秒可以开机，但输密码后，回车进入桌面还得将近十秒，磁盘性不好，1T机械硬盘，还要自己分区，总之，性价比一般
o***c,2017-03-15 23:35:43,还行吧
张***7,2017-03-15 23:20:31,戴尔官方正品笔记本！大品牌，收到宝贝后心里忐忑不安，不知好用不，今天我可以大声说：戴尔笔记本，值得拥有！
y***t,2017-03-15 22:56:21,不加固态开机很慢，其他强度也不好说，反正外观就是黑黑的
紫***8,2017-03-15 21:40:41,笔记本电脑刚拿到的时候，机子开机比较慢，经过售后客服的指导设置，机子开机最多十几秒，电脑我也非常满意，客服的服务也特别好，很愉快的一次购物！
e***o,2017-03-15 19:06:29,1屏幕不错 但如果不正对屏幕的话会偏色 2售后服务真不错 我分区不小心把系统搞坏了 戴尔售后非常耐心的指导帮助 虽然感觉没有原机系统好 但也很好了3这款笔记本性价比真高啊4要是能选配固态就好了 以后还得自己想办法 第一次在网上买这种大件 满意
b***g,2017-03-15 16:11:05,太牛逼了。开机6秒。没加固态啊！昨天早上忘记接电源。打lol到晚上八点才发现。牛逼的电池啊。玩游戏居然10小时啊
x***y,2017-03-15 12:44:41,还不错哦，客服售后也很好
菠***油,2017-03-15 10:30:38,电脑很满意，挺薄的，配置不错，性价比高，就是开机慢了点不过没什么大碍，还有发货有点慢....等了三天才发货
伍***拾,2017-03-15 09:33:26,挺好的，还不错。
t***1,2017-03-14 23:42:02,特地用了几天才来评价，目前来说这个电脑性价比超高，比京东便宜了很多。用起也很顺手
黄***6,2017-03-14 23:29:54,外壳很酥脆，有翻炒的味道
n***n,2017-03-14 23:27:56,电脑质量差，性价比低，买了后悔，玩游戏根本不行太卡，物流慢，我至少一星期才发货..不建议大家购买
