w***豪,2017-03-16 10:36:35,机子还可以，就是发货太慢了，我第一天下的单，三天后才发货，还有就是咨询客服，半天没人回复我，差评差评差评！
石***1,2017-03-16 10:13:04,发货有点慢，别的都还不错?
河***8,2017-03-16 10:11:05,信号强度：满格。操作流畅性：流畅。续航能力：一般。拍照效果：高清。音质：OK。
c***1,2017-03-16 10:10:12,用着还可以，目前还没啥问题
c***o,2017-03-16 10:04:37,样子可以   就是拍照变色太厉害   高亮  美颜
幻***司,2017-03-16 09:44:58,一直是小米的忠实用户，感觉5s还不错，希望可以有进一步的评价和体验。
箫***辰,2017-03-16 09:42:44,买手机等了一周才发货，又等了一周才收到，用了小米好几个手机，支持国货吧，指纹处不是很灵敏，继续改进吧
y***7,2017-03-16 09:40:22,首先发货速度很慢，顺丰快递这次跟别的快递没什么区别，并没有特别大的优势。再就是手机，外观我挺喜欢的，但手机的指纹解锁那就是一个坑，无论更新系统还是重新设置，都得不到改善，而且还有严重闪屏现象，想退但我已经用了，算了，这次的手机真是令我失望到极点，我上次买的小米note都比这个好，一般都给好评的我这次真是无法给。
x***1,2017-03-16 09:03:16,手机速度快，黑边确实有点大
s***8,2017-03-16 08:53:12,帮同事买的，还不知道好不好用！
暗***痕,2017-03-16 08:52:32,第一次用旗舰机，感觉棒棒的
二***肉,2017-03-16 08:49:25,快递不到24个小时就到了，很快，我买的小米5s感觉手感太滑了容易掉，如果有送手机壳就好了，用起来还不错
不***嘛,2017-03-16 08:45:35,其余都好，就是耗电有点快，不过可以切换模式的，玩过游戏了很流畅，指纹解锁有时要多按几次也不是完全不能用，建议多录几个指纹，我觉得还挺好的，
t***2,2017-03-16 08:35:31,物流很快 很喜欢耶 触感不错
g***e,2017-03-16 08:23:38,物流超慢，付款后2天才打包
李***3,2017-03-16 08:19:19,还可以
老***丶,2017-03-16 08:16:51,感觉还不错
h***0,2017-03-16 08:13:31,第十台小米手机了，米3，红米Note3，红米4a，3台米5s，2台米5sp，mix标配尊享各一台。预计4月2号米5s系列全线降价200元到时不知道会不会给退差价。?
m***懒,2017-03-16 07:50:16,手机性能没话说，就是物流实在有点慢，现在担心的是这个电池，感觉续航能力有欠缺。刚开始用，可能担心过头了，以后再追加吧！
q***9,2017-03-16 07:47:18,外观一般，指纹解锁不怎么快，而且必须用力按才能指纹解锁，不方便，按的手疼
t***1,2017-03-16 07:38:33,手机挺好用的，运行也够快，玩游戏一点也不卡，指纹还好，没有其他的手机的灵敏
幸***0,2017-03-16 07:25:47,发货太慢了吧
k***o,2017-03-16 07:18:03,还可以，就是偶尔会出现点不动屏幕的现象
m***丶,2017-03-16 04:48:40,手机非常非常好，非常喜欢，已经是三年的米粉了
d***5,2017-03-16 04:42:48,去鉴定说是正品，指纹没有那么说的不灵，拍照效果不错，内存够大，王者荣耀也不卡，充电超级快，长屏的手感特别好，还是我超级喜欢的玫瑰金。。一直在支持小米，基本上全家都是小米，红米。。
贝***斯,2017-03-16 00:58:14,东西挺好，性价比高。发货速度慢了点。
c***n,2017-03-16 00:39:20,非常好，全家都是小米了。
及***猫,2017-03-15 23:43:16,性价比一如既往的高  像素也还可以
冲***8,2017-03-15 23:15:57,指纹识别太慢，还老是出错，反应有点慢，电池不怎么耐用，不怎么玩，一天就没有电了...不满意，感觉还没有上个红米note3好用
q***1,2017-03-15 23:07:59,用了很多小米手机，大爱小米！！！觉得红米Pro屏幕太大了！5S更适合。颜色更爱！?(?^o^?)?
电***过,2017-03-15 23:07:44,忠实米粉啦！很满意5s这款手机！
t***9,2017-03-15 22:29:43,手机到的好快，到手发现充电器头是坏的，不能用，充不上点，线是好的
z***3,2017-03-15 22:20:36,物流慢  最重要的是手机买回来  发现指纹解锁不好用  后悔买了
渐***星,2017-03-15 22:17:03,第一次在网买手机，挺不错的手机一直喜欢小米手机安兔兔评测是真的用一段时间再来追评
岁***嘻,2017-03-15 22:14:25,想不通有人买oppo，vivo，苹果的高价机，其实大多数拿着这些手机就是浪费资源，因为很本没有有效利用手机，另外单从相同功能配置看价格对比，小米直接爆前面几款吃翔，所以支持国产，更支持性能为王的国产。
心***伤,2017-03-15 22:13:05,先给物流个赞，13个小时就到了，手机还行吧，黑边稍微有点大了，不过还好啦，总体好评。
l***h,2017-03-15 22:07:24,手机挺好的，性价比不错。物流有点慢。屏幕的弧边，好看是好看，但贴膜好纠结。。。
a***4,2017-03-15 22:01:24,很好！！
q***鸽,2017-03-15 21:39:51,非常好下次还来
赵***全,2017-03-15 21:35:04,速度超级快。东西挺好的。不错，一直用小米，小米第一代到现在，每一代都有，支持小米
萌***5,2017-03-15 21:31:32,挺好的 物流挺快
西***娘,2017-03-15 21:31:18,手机已收到，物流很给力，下单第二天就到了，就是屏幕周围有黑边，不过用着用着会习惯的吧?
a***6,2017-03-15 21:24:49,好
高***1,2017-03-15 21:04:49,真的
周***3,2017-03-15 20:59:11,那个买了，绝不会后悔的，不买小米，。。买别的手机，都是坑钱，小米最好。
x***6,2017-03-15 20:49:07,官网买的值得信赖，以前在能量家买过两台小米5，感觉有一台是翻新的。
z***7,2017-03-15 20:46:05,此用户没有填写评论!
z***铭,2017-03-15 20:44:44,手机很好用 ，这个价格很可以了。
五***6,2017-03-15 20:32:40,指纹一直不好用，其他都没话说！
王***7,2017-03-15 20:18:28,据父亲的反馈倒是不错，就是物流太慢了，整整花了一个星期
佐***佑,2017-03-15 20:17:33,嗯，昨天订的小米手提，今天就收到啦！打开一看能切实，外形非常喜欢，不过颜色我觉得挺奇怪的，颜色有一点偏灰偏紫色，不过没关系，我觉得很适合我这个女孩子用啊！我喜欢小米手机，帮妈妈买了一部帮自己买的布，我觉得非常好用。
s***2,2017-03-15 19:48:59,好评
o***辉,2017-03-15 19:30:56,快递慢的要死
几***腐,2017-03-15 19:24:10,手机收到了，挺好用的。
志***3,2017-03-15 19:13:52,很好
倾***4,2017-03-15 18:52:59,手机还是挺好用的，不过有时候指纹不太灵，按了几次都没反应。玩游戏还是很快的，总体还可以。
我***珂,2017-03-15 18:45:06,用小米几年了，值得信赖
丹***妮,2017-03-15 18:43:49,真为这手机的续航着急，玩游戏的话一天要3充，一早上就可以用完，然后中午充满，下午又用完，晚上又要充一次！很不爽！！！
q***4,2017-03-15 18:32:07,真裸啊&hellip;&hellip;手机，数据线，充电头，卡针&hellip;&hellip;没有耳机?没有壳，软膜都不给张&hellip;&hellip;手机没啥大问题，不懂，手机丢了，随便换一个先用着&hellip;&hellip;
微***依,2017-03-15 18:23:21,所谓的高配版噢!
天***3,2017-03-15 18:11:42,很强，很给力。
n***3,2017-03-15 18:02:43,正面很赞，旁边有点硌手。
一***8,2017-03-15 17:38:51,后壳太丑了
黄***8,2017-03-15 17:37:03,第三次购买，支持国货，可以。
我***哥,2017-03-15 17:32:35,看着还不错，用用再说。
x***u,2017-03-15 17:14:42,买给弟弟的 据说用着不错。
h***8,2017-03-15 17:04:24,手机很喜欢，只是等了好多天，
胡***7,2017-03-15 17:03:42,不错
奔***我,2017-03-15 16:47:05,我是米粉
上***忆,2017-03-15 16:37:32,一直都用的小米感觉不错就是米健不能用有点遗憾还有感觉计步不准
诺***0,2017-03-15 16:34:42,顺丰快递相当给力
s***8,2017-03-15 16:25:53,有点卡
i***彬,2017-03-15 16:20:10,之前刚出的时候买了个，这个是给我爸买的，详细就不多说了，就说物流吧。顺丰。发了三天是什么鬼，当初我买的时候第一天下午下单第二天下午到了，一天时间而已，本来是买5SP的，也是等了两天还没发货才退的买的这个，用的话就那样了，性价比比较高吧，毕竟这个我能用花呗买，OPPO  vivo都是三千我额度不够没法买，不然真买vivo了，小米售后从没用过，就这样了
a***o,2017-03-15 16:20:08,宝贝已收到，物流迅捷，值得信赖！
樊***泽,2017-03-15 15:44:41,物流很快，宝贝也很喜欢
g***g,2017-03-15 15:14:52,已经买了三个小米手机，米粉，照相非常漂亮
z***7,2017-03-15 15:05:39,还可以 就是后置摄像头有一颗超级无敌小的 灰 官网查了 是正品
步***簿,2017-03-15 14:53:05,发货有点慢，其他的还好
廖***古,2017-03-15 14:47:10,感觉还可以！
豌***兔,2017-03-15 14:27:19,完开心消消乐手机很快就发热 高通的通病？新手机运行还是很快的 屏幕太难买膜啦
